,United States,"20,876","$36,492,344","$587,825,261,664",
,United Kingdom,"3,609","$30,499,823","$51,849,409,108",
,China,"1,936","$34,963,077","$36,260,590,749",
,France,"3,052","$22,864,946","$20,581,170,000",
,Japan,"1,367","$28,802,676","$14,803,261,273",
,Germany,"1,457","$30,575,346","$10,632,658,672",
,Republic of Korea,"1,122","$17,373,000","$8,322,589,438",
,Canada,"1,582","$20,447,825","$7,950,361,157",
,Australia,779,"$29,343,607","$7,670,130,896",
,India,"1,761","$15,036,300","$7,515,605,361",
,New Zealand,208,"$62,059,286","$7,339,266,414",
,Hong Kong,395,"$24,750,000","$6,855,835,343",
,Italy,"1,350","$16,276,774","$4,301,739,264",
,Spain,"1,214","$24,552,915","$4,012,891,251",
,Belgium,529,"$17,505,514","$2,268,476,214",
,Russian Federation,902,"$13,102,630","$2,268,364,540",
,Mexico,442,"$11,964,516","$1,767,970,778",
,Netherlands,416,"$22,142,105","$1,271,162,510",
,Ireland,302,"$18,673,643","$1,246,072,093",
,Sweden,250,"$14,311,765","$1,240,085,497",
,Brazil,368,"$14,530,526","$1,112,646,202",
,Turkey,825,"$10,733,333","$941,267,081",
,"Taiwan, Province of China",131,"$13,685,714","$865,495,054",
,Denmark,250,"$13,152,050","$818,820,943",
,Switzerland,211,"$21,182,727","$696,561,457",
,Finland,75,"$21,116,667","$681,200,730",
,Czech Republic,265,"$32,963,636","$647,215,301",
,Argentina,829,"$11,075,000","$636,817,044",
,South Africa,140,"$18,395,526","$607,545,881",
,Poland,256,"$7,121,000","$576,621,270",
,United Arab Emirates,37,"$28,446,429","$539,158,665",
,Hungary,92,"$49,509,300","$519,049,494",
,Malta,10,"$77,500,000","$500,098,538",
,Austria,163,"$11,041,667","$316,664,583",
,Panama,9,"$36,000,000","$305,439,992",
,Luxembourg,94,"$20,975,000","$262,983,183",
,Norway,168,"$5,703,846","$250,427,701",
,Tunisia,17,"$35,000,000","$249,118,753",
,Morocco,28,"$36,225,000","$228,304,995",
,Thailand,105,"$7,014,286","$225,423,529",
,Romania,111,"$11,443,667","$210,844,720",
,Chile,87,"$9,100,000","$180,188,446",
,Uruguay,41,"$135,000,000","$169,029,947",
,Paraguay,14,"$135,000,000","$165,740,253",
,Slovakia,110,"$36,000,000","$163,009,185",
,Iceland,63,"$17,850,000","$139,557,950",
,Philippines,125,$0,"$127,191,352",
,Israel,199,"$2,500,000","$126,931,966",
,Ukraine,51,"$26,000,000","$99,375,941",
,Kuwait,2,"$80,000,000","$96,763,308",
,Peru,35,"$1,200,000","$87,766,946",
,Lebanon,29,"$4,625,000","$86,985,997",
,Islamic Republic of Iran,82,"$3,484,286","$80,329,108",
,Greece,73,"$2,607,667","$73,706,183",
,Cuba,37,$0,"$65,459,508",
,Portugal,236,"$800,000","$57,723,497",
,Bahamas,8,"$31,500,000","$56,207,252",
,Bolivarian Republic of Venezuela,25,"$1,400,000","$54,144,060",
,Malaysia,28,"$25,000,000","$53,431,898",
,Latvia,37,$0,"$47,954,678",
,Algeria,14,"$10,100,000","$47,510,465",
