,1995,Batman Forever,Super Hero,Live Action,Based on Comic/Graphic Novel,Action,PG-13,Warner Bros.,"$184,031,112","$387,522,978","42,306,002",
,1996,Independence Day,Science Fiction,Live Action,Original Screenplay,Adventure,PG-13,20th Century Fox,"$306,169,255","$634,504,608","69,269,062",
,1997,Men in Black,Science Fiction,Live Action,Based on Comic/Graphic Novel,Adventure,PG-13,Sony Pictures,"$250,650,052","$500,207,943","54,607,854",
,1998,Titanic,Historical Fiction,Live Action,Original Screenplay,Drama,PG-13,Paramount Pictures,"$443,319,081","$865,842,808","94,524,324",
,1999,Star Wars Ep. I: The Phantom Menace,Science Fiction,Animation/Live Action,Original Screenplay,Adventure,PG,20th Century Fox,"$430,443,350","$776,153,749","84,732,942",
,2000,How the Grinch Stole Christmas,Kids Fiction,Live Action,Based on Fiction Book/Short Story,Adventure,PG,Universal,"$253,367,455","$430,583,644","47,006,948",
,2001,Harry Potter and the Sorcererâs Stone,Fantasy,Animation/Live Action,Based on Fiction Book/Short Story,Adventure,PG,Warner Bros.,"$300,404,434","$486,166,890","53,074,988",
,2002,Spider-Man,Super Hero,Live Action,Based on Comic/Graphic Novel,Adventure,PG-13,Sony Pictures,"$403,706,375","$636,480,273","69,484,746",
,2003,Finding Nemo,Kids Fiction,Digital Animation,Original Screenplay,Adventure,G,Walt Disney,"$339,714,367","$516,050,346","56,337,374",
,2004,Shrek 2,Kids Fiction,Digital Animation,Based on Fiction Book/Short Story,Adventure,PG,Dreamworks SKG,"$441,226,247","$650,826,473","71,050,925",
,2005,Star Wars Ep. III: Revenge of the Sith,Science Fiction,Animation/Live Action,Original Screenplay,Adventure,PG-13,20th Century Fox,"$380,270,577","$543,413,171","59,324,582",
,2006,Pirates of the Caribbean: Dead Manâs Chest,Historical Fiction,Live Action,Based on Theme Park Ride,Adventure,PG-13,Walt Disney,"$423,315,812","$591,995,851","64,628,368",
,2007,Spider-Man 3,Super Hero,Live Action,Based on Comic/Graphic Novel,Adventure,PG-13,Sony Pictures,"$336,530,303","$448,054,878","48,914,288",
,2008,The Dark Knight,Super Hero,Live Action,Based on Comic/Graphic Novel,Action,PG-13,Warner Bros.,"$531,001,578","$677,433,772","73,955,652",
,2009,Transformers: Revenge of the Fallen,Science Fiction,Animation/Live Action,Based on TV,Action,PG-13,Paramount Pictures,"$402,111,870","$491,112,631","53,614,916",
,2010,Toy Story 3,Kids Fiction,Digital Animation,Original Screenplay,Adventure,G,Walt Disney,"$415,004,880","$481,805,411","52,598,844",
,2011,Harry Potter and the Deathly Hallows: Part II,Fantasy,Animation/Live Action,Based on Fiction Book/Short Story,Adventure,PG-13,Warner Bros.,"$381,011,219","$440,108,798","48,046,812",
,2012,The Avengers,Super Hero,Animation/Live Action,Based on Comic/Graphic Novel,Action,PG-13,Walt Disney,"$623,357,910","$717,331,462","78,311,295",
,2013,Iron Man 3,Super Hero,Animation/Live Action,Based on Comic/Graphic Novel,Action,PG-13,Walt Disney,"$408,992,272","$460,808,016","50,306,552",
,2014,Guardians of the Galaxy,Super Hero,Animation/Live Action,Based on Comic/Graphic Novel,Action,PG-13,Walt Disney,"$333,055,258","$373,413,235","40,765,637",
,2015,Star Wars Ep. VII: The Force Awakens,Science Fiction,Animation/Live Action,Original Screenplay,Adventure,PG-13,Walt Disney,"$742,208,942","$806,480,887","88,043,765",
,2016,Finding Dory,Kids Fiction,Digital Animation,Original Screenplay,Adventure,PG,Walt Disney,"$486,295,561","$514,967,322","56,219,140",
,2017,Star Wars Ep. VIII: The Last Jedi,Science Fiction,Animation/Live Action,Original Screenplay,Adventure,PG-13,Walt Disney,"$517,218,368","$528,173,936","57,660,910",
,2018,Black Panther,Super Hero,Live Action,Based on Comic/Graphic Novel,Action,PG-13,Walt Disney,"$700,059,566","$703,901,821","76,845,177",
,2019,Avengers: Endgame,Super Hero,Animation/Live Action,Based on Comic/Graphic Novel,Action,PG-13,Walt Disney,"$858,373,000","$858,373,002","93,708,843",
,2020,Bad Boys For Life,Contemporary Fiction,Live Action,Original Screenplay,Action,R,Sony Pictures,"$204,417,855","$204,417,848","22,316,359",
,2021,F9: The Fast Saga,Contemporary Fiction,Live Action,Original Screenplay,Action,PG-13,Universal,"$163,296,825","$163,296,825","17,827,164",
